Names,Fact
Abra  ,"In Pokemon Red And Blue Beta, Abra was known as ""Hocus"""
Aerodactyl  ,"In the Pokémon Red and Green beta, Aerodactyl was revived using a Wing Fossil, which formed a trio with the Helix Fossil and Dome Fossil."
Alakazam  ,Alakazam has the lowest average Performance of any fully evolved Pokémon.
Arbok  ,The face-like pattern on Arbok's chest differs between games.
Arcanine  ,"Arcanine may be based on the Ryukyuan シーサー shisa, or 狛犬 komainu, mythical creatures that resemble a mix between lions and dogs. "
Articuno  ,"Articuno and the other two legendary birds had Australian beetle species named after them: Binburrum articuno, Binburrum zapdos, and Binburrum moltres."
Beedrill  ,Beedrill's English name was originally going to be spelled Beedril.
Bellsprout  ,Bellsprout is tied with Sunkern and Seedot for the lowest base Special Defense stat of all Grass-type Pokémon.
Blastoise  ,Blastoise may be a combination of blast (referring to its cannons) and tortoise.
Bulbasaur  ,Bulbasaur's evolutionary line is the only first partner Pokémon family to have the Poison-type.
Butterfree  ,Butterfree seems to be based on the black-veined white butterfly.
Caterpie  ,Caterpie was both the first Pokémon to be caught and the first Pokémon to evolve in Pokémon the Series.
Chansey  ,"In the Pokémon Red and Blue beta, Chansey was originally known as ""Lucky"", which also happens to be its romanized Japanese name."
Charizard  ,"Charizard is the most common Pokémon found amongst Champions, being used by four of them."
Charmander  ,Charmander is  based on a salamander. It was designed based its final evolution
Charmeleon  ,Charmeleon may be a combination of char (to burn) and chameleon.
Clefairy  ,Clefairy may be a combination of clef (musical symbol) and fairy.
Clefable  ,"Clefable seems to be based on fairies and pixies since it is a playful, magical, humanoid creature with wings. "
Cloyster  ,"Cloyster may be a combination of clam and oyster, as well as a play on cloister "
Cubone  ,Cubone is the only Pokémon that can evolve into a dual-type Pokémon that doesn't share any types with its evolution.
Dewgong  ,Dewgong shares its category with Seel and Popplio. They are all known as the Sea Lion Pokémon
Diglett  ,Diglett appears to be based on an artificial mole used in the Whac-A-Mole arcade games.
Ditto  ,Ditto is the only pokemon able to transform into other pokemons
Dodrio  ,"According to its Pokédex entries, Doduo can run at 60 mph (100 km/h), while Dodrio can only run at nearly 40 mph (60 km/h). However, Dodrio's base Speed stat is higher."
Doduo  ,"In the Pokémon Red and Blue beta, Doduo was originally known as ""Dodo"", its Japanese name."
Dragonair  ,"Dragonair appears to be based on sea serpents or ryu, traditional Japanese dragons or Chinese dragons who bring good luck."
Dragonite  ,"Dragonite resembles Japanese dragons, European dragons, or fairy dragons. Its description as the ""guardian of the sea"" may also suggest it has elements similar to the Chinese dragon."
Dratini  ,"In early English-language promotional material for Pokémon Red and Blue, Dratini was referred to as ""Dragoon""."
Drowzee  ,"Drowzee is based on the Japanese myth of the baku, creatures who eat bad dreams of sleeping people."
Dugtrio  ,Dugtrio has the highest base Speed stat of all Ground-type Pokémon.
Eevee  ,Eevee's English name is a palindrome
Ekans  ,"In the Pokémon Red and Blue beta, Ekans was originally known as ""Arbo"", its romanized Japanese name."
Electabuzz  ,Electabuzz is the only member of its family not to have some physical relation to an AC power unit. Elekid's head is shaped like a power plug while Electivire's back pattern looks like a power socket.
Electrode  ,"Electrode seems to be based on the concept of a living Poké Ball, and is often mistaken for one."
Exeggcute  ,Exeggcute may be based on both plant seeds and a clutch of eggs.
Exeggutor  ,"Exeggutor is a rare example of a Pokémon that is capable of devolution, because when one of its heads grows too big, it falls off, becoming an Exeggcute in the process."
Farfetch'd  ,Farfetch'd and Sirfetch'd are the only Pokémon with an apostrophe in their names.
Fearow  ,Fearow may be a combination of fear (referring to its intimidating appearance) and sparrow. It may also involve feather and arrow (referring to its sharp beak).
Flareon  ,"Flareon may be a combination of flare and eon (an immeasurably long period of time, possibly referring to how long evolution takes naturally)."
Gastly  ,"In the Pokémon Red and Blue beta, Gastly's prototype name was ""Spirit"""
Gengar  ,"In the English Pokémon Red and Blue beta, Gengar's prototype name was ""Phantom"". "
Geodude  ,"Geodude is based on a living rock or boulder, and thus it may be based on a earth elemental creature like golem."
Gloom  ,Gloom is the only dual-type Pokémon that can evolve into a single-type Pokémon.
Golbat  ,"Golbat seems to be based on a bat, particularly vampire bats, which bite other animals to feed on their blood."
Goldeen  ,"In the Pokémon Red and Blue beta, Goldeen was originally known as ""Goldy"""
Golduck  ,"Golduck is based on a duck, with features resembling a platypus and a kappa."
Golem  ,"In Red, Blue, and Yellow Versions in Generation I, Golem is the only Pokémon that cannot ever be seen without trading."
Graveler  ,Graveler's Red and Blue sprite shows an incorrect number of limbs; only four are visible. This was corrected in Pokémon Yellow.
Grimer  ,"Grimer appears to be a pile of living sludge, and may be based upon the general concept of living slime in popular culture."
Growlithe  ,The beta Pokémon names in Red and Blue list Growlithe as Flamie.
Gyarados  ,"In the Pokémon Red and Blue beta, Gyarados' name was ""Skulkraken"", a combination of skull and kraken (a mythological sea monster)."
Haunter  ,Haunter and Gastly are the lightest Poison-type Pokémon.
Hitmonchan  ,Hitmonchan and Hitmonlee are the only Pokémon that were introduced as not being related to each other in an evolutionary line but later became part of the same evolutionary line as each other.
Hitmonlee  ,"Hitmonlee has more former signature moves than any other Pokémon, with a total of four."
Horsea  ,Horsea's artwork from Pokémon Red and Blue depicted it with two fins instead of one.
Hypno  ,Hypno are most likely commonly left handed due to always holding their pendulums in their left hand.
Ivysaur  ,"Ivysaur may be a combination of ivy (woody climbing or trailing plant genus) and dinosaur, "
Jigglypuff  ,Jigglypuff seems to be based on a balloon due to its inflatable body. 
Jolteon  ,"If a Thunder Stone is used on a paralyzed Eevee to evolve it into Jolteon, the paralysis will not be removed."
Jynx  ,"Jynx may be a corruption of jinx, a curse or hex of bad luck."
Kabuto  ,"In the Pokémon Red and Blue beta, Kabuto was originally known as ""Att"", which is derived from the word ""Atlantis""."
Kabutops  ,"In the Pokémon Red and Blue beta, Kabutops was originally known as ""Lantis"". This is derived from the word ""Atlantis""."
Kadabra  ,"In the Pokémon Red and Blue beta, Kadabra was originally known as ""Pocus""."
Kakuna  ,Kakuna has the lowest base Attack stat of all Poison-type Pokémon.
Kangaskhan  ,"Kangaskhan seems to be based on a kangaroo with elements of Mongolian laminar armor, evident in its helmet-like plate with ear flaps and its epaulets."
Kingler  ,"Many of Kingler's Pokédex entries mention its claws having the crushing power of 10,000 horsepower. In actuality, horsepower is a unit of power which is energy divided by time—not related to pressure in any way. A more fitting unit would be pounds per square inch."
Koffing  ,"n the Pokémon Red and Blue beta, Koffing was originally known as ""Ny"", representing New York City's polluted air."
Krabby  ,"Krabby is based on a crab, possibly the samurai crab or the sand bubbler crab."
Lapras  ,"In the Pokémon Red and Blue beta, Lapras was originally going to be called ""Ness"", a reference to the Loch Ness Monster."
Lickitung  ,"In the Pokémon Red and Blue beta, Lickitung was originally known as ""Tonguetyd""."
Machamp  ,"In the Pokémon Red and Blue beta, Machamp was originally known as ""Ju-Doh"". This name is a corruption of judo, a fighting style."
Machoke  ,"In the Pokémon Red and Blue beta, Machoke was originally known as ""Kung-Foo"". This name is a corruption of kung fu, a Chinese martial art."
Machop  ,"Before the release of the English versions of Pokémon Red and Blue, Machop was known as ""Kara-Tee"". This name is a corruption of karate, a fighting style."
